service_id,date,exception_type
2773269,20191018,1
2773269,20191108,1
2773269,20191115,1
2773269,20191122,1
2773269,20191129,1
2773269,20191206,1
2773269,20191213,1
2773269,20191220,1
2773259,20191020,1
2773259,20191027,1
2773259,20191103,1
2773259,20191111,1
2773259,20191117,1
2773259,20191124,1
2773259,20191201,1
2773259,20191208,1
2773259,20191215,1
2773259,20191222,1
2773259,20191225,1
2773259,20191229,1
12773269,20191019,1
12773269,20191109,1
12773269,20191116,1
12773269,20191123,1
12773269,20191130,1
12773269,20191207,1
12773269,20191214,1
12773269,20191221,1
12773259,20191021,1
12773259,20191028,1
12773259,20191104,1
12773259,20191112,1
12773259,20191118,1
12773259,20191125,1
12773259,20191202,1
12773259,20191209,1
12773259,20191216,1
12773259,20191223,1
12773259,20191226,1
12773259,20191230,1
12773266,20191020,1
12773266,20191027,1
12773266,20191103,1
12773266,20191110,1
12773266,20191117,1
12773266,20191124,1
12773266,20191201,1
12773266,20191208,1
12773266,20191215,1
12773266,20191222,1
12773266,20191229,1
12773265,20191022,1
12773265,20191023,1
12773265,20191024,1
12773265,20191025,1
12773265,20191029,1
12773265,20191030,1
12773265,20191031,1
12773265,20191224,1
12773265,20191227,1
12773264,20191231,1
12773261,20191102,1
12773261,20191111,1
12773262,20191017,1
12773262,20191018,1
12773262,20191105,1
12773262,20191106,1
12773262,20191107,1
12773262,20191108,1
12773262,20191113,1
12773262,20191114,1
12773262,20191115,1
12773262,20191119,1
12773262,20191120,1
12773262,20191121,1
12773262,20191122,1
12773262,20191126,1
12773262,20191127,1
12773262,20191128,1
12773262,20191129,1
12773262,20191203,1
12773262,20191204,1
12773262,20191205,1
12773262,20191206,1
12773262,20191210,1
12773262,20191211,1
12773262,20191212,1
12773262,20191213,1
12773262,20191217,1
12773262,20191218,1
12773262,20191219,1
12773262,20191220,1
2773270,20191231,1
2773266,20191019,1
2773266,20191026,1
2773266,20191102,1
2773266,20191109,1
2773266,20191116,1
2773266,20191123,1
2773266,20191130,1
2773266,20191207,1
2773266,20191214,1
2773266,20191221,1
2773266,20191228,1
2773271,20191025,1
2773271,20191031,1
2773271,20191224,1
2773271,20191227,1
2773265,20191021,1
2773265,20191022,1
2773265,20191023,1
2773265,20191024,1
2773265,20191028,1
2773265,20191029,1
2773265,20191030,1
2773265,20191223,1
2773265,20191226,1
2773264,20191230,1
12773271,20191026,1
12773271,20191101,1
12773271,20191225,1
12773271,20191228,1
12773270,20200101,1
2773262,20191016,1
2773262,20191017,1
2773262,20191104,1
2773262,20191105,1
2773262,20191106,1
2773262,20191107,1
2773262,20191112,1
2773262,20191113,1
2773262,20191114,1
2773262,20191118,1
2773262,20191119,1
2773262,20191120,1
2773262,20191121,1
2773262,20191125,1
2773262,20191126,1
2773262,20191127,1
2773262,20191128,1
2773262,20191202,1
2773262,20191203,1
2773262,20191204,1
2773262,20191205,1
2773262,20191209,1
2773262,20191210,1
2773262,20191211,1
2773262,20191212,1
2773262,20191216,1
2773262,20191217,1
2773262,20191218,1
2773262,20191219,1
2773261,20191101,1
2773261,20191110,1
